epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
128,1415.91,1.06199,0.72831,0.00828,0.82131,0.91599,0.92059,0.64535,1.02571,0.61016,0.00969,9.47845e-05,9.47845e-05,9.47845e-05
129,1426.77,1.0554,0.70996,0.00806,0.85834,0.86607,0.92023,0.64511,1.02,0.62676,0.00961,8.80588e-05,8.80588e-05,8.80588e-05
130,1437.7,1.04535,0.71442,0.008,0.82338,0.91021,0.92165,0.64527,1.02514,0.62376,0.00967,8.16111e-05,8.16111e-05,8.16111e-05
131,1449.19,1.06403,0.69031,0.01087,0.80642,0.92991,0.91846,0.63756,1.04756,0.63194,0.00995,7.54441e-05,7.54441e-05,7.54441e-05
132,1459.45,1.03955,0.65129,0.01053,0.84379,0.90307,0.92328,0.64402,1.03365,0.62239,0.00976,6.95605e-05,6.95605e-05,6.95605e-05
133,1469.71,1.02739,0.63519,0.01034,0.83655,0.90567,0.92413,0.64662,1.03529,0.60604,0.0098,6.3963e-05,6.3963e-05,6.3963e-05
134,1479.9,1.02647,0.63219,0.01042,0.83398,0.92088,0.92448,0.64835,1.02895,0.60756,0.0097,5.86539e-05,5.86539e-05,5.86539e-05
135,1490.07,1.00683,0.62,0.01,0.87055,0.87476,0.92443,0.64579,1.03794,0.62625,0.0098,5.36357e-05,5.36357e-05,5.36357e-05
136,1500.28,0.99987,0.62977,0.01002,0.84593,0.8925,0.92399,0.64021,1.03849,0.61726,0.0098,4.89104e-05,4.89104e-05,4.89104e-05
137,1510.58,1.00792,0.61451,0.01014,0.86679,0.87715,0.92391,0.6436,1.03251,0.61026,0.00974,4.44803e-05,4.44803e-05,4.44803e-05
138,1520.82,1.00701,0.62643,0.01004,0.84788,0.90078,0.92541,0.64857,1.02963,0.60779,0.00971,4.03471e-05,4.03471e-05,4.03471e-05
139,1531.19,1.01136,0.63759,0.0103,0.83499,0.9152,0.9257,0.64718,1.02867,0.61934,0.0097,3.65129e-05,3.65129e-05,3.65129e-05
140,1541.52,1.00013,0.6239,0.01033,0.86676,0.88215,0.92602,0.65095,1.02656,0.6159,0.00967,3.29791e-05,3.29791e-05,3.29791e-05
141,1551.84,1.01037,0.62578,0.01022,0.87794,0.87471,0.92554,0.64589,1.03128,0.61531,0.00972,2.97474e-05,2.97474e-05,2.97474e-05
142,1562.04,0.99814,0.62162,0.0101,0.84692,0.8977,0.92467,0.64658,1.03478,0.61194,0.00978,2.68192e-05,2.68192e-05,2.68192e-05
143,1572.32,1.01165,0.62929,0.01013,0.8436,0.90394,0.92403,0.64822,1.02833,0.61862,0.00971,2.41958e-05,2.41958e-05,2.41958e-05
144,1582.49,1.004,0.62369,0.0098,0.8306,0.91257,0.92471,0.64763,1.03178,0.61424,0.00975,2.18783e-05,2.18783e-05,2.18783e-05
145,1592.71,1.00319,0.61271,0.01031,0.8501,0.9024,0.92726,0.64888,1.03075,0.61017,0.00974,1.98677e-05,1.98677e-05,1.98677e-05
146,1602.95,0.98959,0.61088,0.01012,0.85262,0.90404,0.92647,0.64898,1.02879,0.61471,0.00972,1.8165e-05,1.8165e-05,1.8165e-05
147,1613.18,0.99933,0.6183,0.01011,0.84389,0.90535,0.92716,0.64859,1.03041,0.60888,0.00974,1.67708e-05,1.67708e-05,1.67708e-05
148,1623.35,0.9993,0.60902,0.0098,0.83814,0.91321,0.92631,0.64739,1.02599,0.60752,0.00968,1.56858e-05,1.56858e-05,1.56858e-05
149,1633.58,1.01077,0.63705,0.0102,0.82077,0.91453,0.9258,0.6496,1.0262,0.61108,0.00968,1.49105e-05,1.49105e-05,1.49105e-05
150,1643.81,1.00466,0.62376,0.00994,0.83851,0.91206,0.92528,0.64753,1.02696,0.61227,0.00969,1.44451e-05,1.44451e-05,1.44451e-05
